iter	prior	likelihood	posterior	prior_A	|A|	#indels	|indels|	#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/#indels	P1/|indels|	P1/#substs	Scale[1]*|T|	|T|	rs07:log_rate	rs07:mean_length	Rates.gamma:alpha	hky85:kappa	hky85:pi[A]	hky85:pi[C]	hky85:pi[G]	hky85:pi[T]	scale[1]	scale1
0	-64.138744478688039	-3819.442216219330021	-3883.580960698017861	-14.957840940755680	1140	0	0	615	-3819.442216219330021	-14.957840940755680	1140	0	0	615	0.950898763505084	1.264230375387297	-5.007605423908437	1.614370753907209	0.2441435860689563	22.845640195514687	0.27779324161170865	0.29613070016345694	0.15124306570712387	0.2748329925177105	0.7521562383072596	0.7521562383072596
1	-36.632612232975895	-3833.983471155136158	-3870.616083388112202	-0.363343854506008	1140	0	0	595	-3833.983471155136158	-0.363343854506008	1140	0	0	595	0.843372614290823	0.923645292727988	-8.66034626771735	1.0303669482319078	0.30155020684757905	16.0632286283785	0.27905119170773096	0.28554805164327457	0.1519279500042549	0.28347280664473956	0.913091444227383	0.913091444227383
2	-47.481804732797762	-3822.653467290929257	-3870.135272023726884	-3.279391591239293	1140	0	0	599	-3822.653467290929257	-3.279391591239293	1140	0	0	599	0.800101194632106	0.924984628993241	-6.474999968792758	1.5941002443007237	0.21189600393039085	19.82412975226633	0.28760744941537236	0.29138334130868776	0.15503265897160856	0.26597655030433137	0.8649886382468234	0.8649886382468234
3	-43.671174404740746	-3828.142868223659661	-3871.814042628400330	-3.278301753886085	1140	0	0	605	-3828.142868223659661	-3.278301753886085	1140	0	0	605	0.930752400549942	1.067425114510909	-6.581161459064102	1.3988516888414106	0.25306416270143944	17.729570651308233	0.28310167084532434	0.29333993461006036	0.15260385250685327	0.270954542037762	0.871960372579776	0.871960372579776
4	-43.091975916005808	-3824.368854734432716	-3867.460830650438311	-4.718547953098381	1140	0	0	577	-3824.368854734432716	-4.718547953098381	1140	0	0	577	0.874474713924111	0.950061723480544	-6.175637477868424	1.7705300835022784	0.234208482720237	16.48915425205153	0.28688477137342827	0.29179196829962717	0.1517985560072923	0.26952470431965225	0.9204398959685269	0.9204398959685269
5	-44.489823891618506	-3821.984595833824187	-3866.474419725442658	-1.352769567017953	1140	0	0	577	-3821.984595833824187	-1.352769567017953	1140	0	0	577	0.706833636289762	0.766702492896436	-9.007013605362314	3.1740558368017098	0.28746656702212403	17.647507924920998	0.28688477137342827	0.29179196829962717	0.1517985560072923	0.26952470431965225	0.9219138359906693	0.9219138359906693
6	-41.603182611468256	-3818.793704713207717	-3860.396887324675845	-5.133917095655523	1140	0	0	575	-3818.793704713207717	-5.133917095655523	1140	0	0	575	0.788627772876559	0.380759915887498	-6.120398605384414	3.2576993914435266	0.27952236115918433	19.31378777735912	0.27834582248683626	0.28303042241665743	0.1371105222848941	0.3015132328116122	2.0711943142396665	2.0711943142396665
7	-40.923029042908702	-3822.009260218522741	-3862.932289261431379	-4.016893362314605	1140	0	0	577	-3822.009260218522741	-4.016893362314605	1140	0	0	577	0.787274913853755	0.656435846076867	-7.075872526256944	12.120001751889731	0.2369526154548791	16.925819994973715	0.3009833836027486	0.2807385837447644	0.1482615710059711	0.2700164616465158	1.1993173720765495	1.1993173720765495
8	-54.597143223989235	-3806.557549520384782	-3861.154692744374188	-3.196407104868996	1140	0	0	575	-3806.557549520384782	-3.196407104868996	1140	0	0	575	0.831367289008679	0.578298315738637	-8.268354223567618	14.98980038471395	0.2665162413726967	24.4985635233523	0.2892413607575654	0.3087985513092021	0.14247756149363014	0.2594825264396024	1.4376097359834203	1.4376097359834203
9	-45.237127178314040	-3822.171952764072557	-3867.409079942386597	-3.461523918931228	1140	0	0	575	-3822.171952764072557	-3.461523918931228	1140	0	0	575	0.775333163429772	0.745045551962075	-7.947995341504848	16.996219429521215	0.28005729776674576	17.371174328742008	0.30782545231352126	0.2758109653003502	0.14282040584318595	0.27354317654294263	1.0406520264270214	1.0406520264270214
10	-48.289227983992056	-3823.123918187332947	-3871.413146171325025	-3.254472268040196	1140	0	0	575	-3823.123918187332947	-3.254472268040196	1140	0	0	575	0.726969788636369	1.112863192666043	-7.966197018838652	14.52971506012565	0.2775723304627599	16.856528073444693	0.29987104590158115	0.30863967853719315	0.12287471788369551	0.2686145576775303	0.6532427286904833	0.6532427286904833
