iter	prior	likelihood	posterior	prior_A	|A|	#indels	|indels|	#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/#indels	P1/|indels|	P1/#substs	Scale[1]*|T|	|T|	rs07:log_rate	rs07:mean_length	Rates.gamma:alpha	hky85:kappa	hky85:pi[A]	hky85:pi[C]	hky85:pi[G]	hky85:pi[T]	scale[1]	scale1
10	-48.340913291603876	-3816.556461569708063	-3864.897374861312073	-1.930697484710036	1140	0	0	575	-3816.556461569708063	-1.930697484710036	1140	0	0	575	0.849082137614112	0.739887344063493	-7.186034516682035	1.5907649728726856	0.2263512602838637	20.62264290336698	0.2927938363884806	0.27621022559398006	0.14947200745122619	0.2815239305663132	1.1475829995292481	1.1475829995292481
11	-55.536859227094141	-3820.365257705233489	-3875.902116932327772	-5.914651647783138	1140	0	0	575	-3820.365257705233489	-5.914651647783138	1140	0	0	575	0.783804745242473	0.946529939135396	-6.244890827950988	11.504286124212205	0.2330133685831487	21.246584852235905	0.2999603752779156	0.27341122379615884	0.14795731907689016	0.2786710818490354	0.8280823594005245	0.8280823594005245
12	-57.291844573467927	-3812.767208254289471	-3870.059052827757569	-9.340945592517439	1140	0	0	575	-3812.767208254289471	-9.340945592517439	1140	0	0	575	0.746569436215104	1.023614438396622	-5.408473972296627	5.643224866457861	0.265343144113103	20.51525592009249	0.3079316650343508	0.28067698376702654	0.15188920728330574	0.25950214391531673	0.729346332183944	0.729346332183944
13	-55.609025611732839	-3817.572074771684129	-3873.181100383416833	-1.665844689548699	1140	0	0	575	-3817.572074771684129	-1.665844689548699	1140	0	0	575	0.759123985594750	1.054760834707190	-10.723765943914513	5.0919245405923315	0.22523028218298918	19.357747679455514	0.3079316650343508	0.28067698376702654	0.15188920728330574	0.25950214391531673	0.7197119580245785	0.7197119580245785
14	-50.525501792751044	-3816.739095883123809	-3867.264597675874938	-2.895359173190325	1140	0	0	577	-3816.739095883123809	-2.895359173190325	1140	0	0	577	0.828346807097269	1.211377115233583	-7.424325982773957	5.8505638654317735	0.262135930656524	18.18526511615574	0.2970894170392376	0.2788930443827118	0.15092382303523377	0.2730937155428169	0.6838058905690514	0.6838058905690514
15	-52.692550548833104	-3819.271345472337998	-3871.963896021170967	-2.356062810409597	1140	0	0	575	-3819.271345472337998	-2.356062810409597	1140	0	0	575	0.720856325696562	1.311016108596633	-9.202841517052281	8.933829172957797	0.2423832408104012	16.80956838219155	0.2783940698238651	0.2951022773048196	0.14142643567342658	0.2850772171978888	0.5498455136971561	0.5498455136971561
16	-56.020489686138362	-3813.330853923374889	-3869.351343609513151	-0.669348975845082	1140	0	0	577	-3813.330853923374889	-0.669348975845082	1140	0	0	577	0.793706527549832	1.598540263047959	-8.37093688459817	1.2842753175318617	0.23832731950097508	19.363639497148377	0.3075205093049069	0.2844599443800933	0.13632614560945217	0.2716934007055477	0.4965195721979882	0.4965195721979882
17	-45.968600726346942	-3821.019682223107338	-3866.988282949454060	-0.696646877219255	1140	0	0	577	-3821.019682223107338	-0.696646877219255	1140	0	0	577	0.872849446875129	0.790948240740872	-8.217388899746698	1.172601228133906	0.22258223498703547	19.234233423116887	0.2900815647073321	0.2749562267361972	0.1550801777669353	0.27988203078953516	1.1035481235251776	1.1035481235251776
18	-49.688237843723677	-3815.885557301430254	-3865.573795145153781	-1.461848478667884	1140	0	0	577	-3815.885557301430254	-1.461848478667884	1140	0	0	577	0.889414829137179	0.961420771546095	-8.654332156039043	3.027734416653471	0.21962519674472677	19.355248322035997	0.28065134410449916	0.30491442672008323	0.1444994977744995	0.269934731400918	0.9251046528845841	0.9251046528845841
19	-45.661139733072794	-3819.024611282469323	-3864.685751015542337	-1.712697076743890	1140	0	0	575	-3819.024611282469323	-1.712697076743890	1140	0	0	575	0.734018877880312	0.932338781476210	-7.873463097521856	2.929495690673768	0.24468374303462034	18.211115441876395	0.3147585783745992	0.28655222603297803	0.14501015849800514	0.2536790370944176	0.7872877246596026	0.7872877246596026
20	-50.550468659970150	-3808.407825596369094	-3858.958294256339286	-2.146859007601014	1140	0	0	577	-3808.407825596369094	-2.146859007601014	1140	0	0	577	0.879333736211784	0.620620142674545	-7.242571454780942	2.0369015940528583	0.24768822220231831	22.74343864491271	0.30709595527834266	0.2897565590405708	0.14663171573992287	0.2565157699411638	1.416863030616956	1.416863030616956
21	-56.011494534821509	-3813.842191862332129	-3869.853686397153524	-4.637317126426890	1140	0	0	577	-3813.842191862332129	-4.637317126426890	1140	0	0	577	0.783491176044259	0.992045016964915	-6.083825755437336	1.7578756657125494	0.22761511165764708	22.698425831730077	0.3063085809317324	0.293948872609419	0.12796550381256677	0.27177704264628194	0.789773813330861	0.789773813330861
22	-42.191221235630920	-3816.277383229556563	-3858.468604465187582	-2.843702931672763	1140	0	0	575	-3816.277383229556563	-2.843702931672763	1140	0	0	575	0.893303716123488	0.630967460708167	-6.818872049103306	1.8525056379726417	0.2911154044212335	18.677078870639846	0.30002283856525425	0.2766145143784121	0.13552676567932628	0.28783588137700716	1.4157682792720998	1.4157682792720998
23	-49.827513665915347	-3818.121460421827123	-3867.948974087742499	-2.864833009631326	1140	0	0	575	-3818.121460421827123	-2.864833009631326	1140	0	0	575	0.853466713174138	1.075972108766190	-7.581225836963235	6.490419971831755	0.29484507969490364	18.055216818806926	0.30142027012627565	0.28876275533983037	0.141478773692694	0.2683382008412	0.793205238519428	0.793205238519428
24	-49.845858039961442	-3816.272301277454972	-3866.118159317416485	-3.902938312098705	1140	0	0	575	-3816.272301277454972	-3.902938312098705	1140	0	0	575	0.687840934682196	0.971926559550852	-6.523518142203281	4.939402820489093	0.23936537742962533	18.83924767115825	0.2999284214556334	0.2873335537386765	0.1409654299720465	0.27177259483364363	0.707708754249973	0.707708754249973
25	-47.848625558856270	-3813.400232094774765	-3861.248857653631148	-1.599111445327882	1140	0	0	577	-3813.400232094774765	-1.599111445327882	1140	0	0	577	0.833263629150613	0.872705522713274	-7.656111370213338	2.012828971613339	0.27237427926620955	19.31396136133923	0.2999284214556334	0.2873335537386765	0.1409654299720465	0.27177259483364363	0.9548050372821806	0.9548050372821806
26	-44.872899695231773	-3814.115219631289165	-3858.988119326520973	-2.450558163077853	1140	0	0	575	-3814.115219631289165	-2.450558163077853	1140	0	0	575	0.856442023108816	0.675928765993664	-7.281388537211709	3.0203850094316165	0.24063402926050206	19.23138869305621	0.2995100107849652	0.2869327133503538	0.14076877825158138	0.2727884976130997	1.2670595870406318	1.2670595870406318
27	-46.375981950641709	-3819.047108385776482	-3865.423090336418227	-2.813686893435611	1140	0	0	577	-3819.047108385776482	-2.813686893435611	1140	0	0	577	0.818044592813227	0.949059708046245	-7.066579952425775	3.3898463143194584	0.2591641412002786	17.331460148572404	0.281247721467254	0.30979938016767783	0.13218555878391292	0.2767673395811552	0.8619527158067551	0.8619527158067551
28	-50.474022915609147	-3824.033101773053204	-3874.507124688662316	-3.155948511090079	1140	0	0	577	-3824.033101773053204	-3.155948511090079	1140	0	0	577	0.788665191096548	1.265387480418658	-6.8670129588599655	3.6007919181344703	0.24750563401540535	17.31243497689535	0.2791192298100755	0.30586264872319163	0.13118517429154003	0.2838329471751929	0.6232598340830864	0.6232598340830864
29	-43.899777116698147	-3821.435554571418379	-3865.335331688116639	-1.667168583246664	1140	0	0	575	-3821.435554571418379	-1.667168583246664	1140	0	0	575	0.813114365825386	0.951161147671704	-8.812867894018812	4.018225685140187	0.25299824963750717	16.131053271101333	0.28663538653401405	0.29612770684011996	0.1318865212996843	0.28535038532618173	0.8548649908753793	0.8548649908753793
30	-51.404728882408094	-3821.299004540675924	-3872.703733423084032	-4.577065465759215	1140	0	0	577	-3821.299004540675924	-4.577065465759215	1140	0	0	577	0.679068622500709	1.128320021976179	-5.8501125462582575	1.1244610144124272	0.2712056644566172	19.054960366517683	0.3012469977878316	0.3033648711766428	0.1351097402230438	0.26027839081248183	0.6018404435572852	0.6018404435572852
31	-52.032383941028627	-3812.885715765165514	-3864.918099706193971	-2.238730744255848	1140	0	0	577	-3812.885715765165514	-2.238730744255848	1140	0	0	577	0.830094536402882	1.091616064630903	-6.76196891067677	1.0494660488475769	0.21435281200202327	20.337390620240107	0.2929672535938795	0.3054892768778338	0.1394423993291173	0.26210107019916956	0.7604271898321263	0.7604271898321263
32	-61.582163520555376	-3812.957587889141450	-3874.539751409696692	-1.168890047360140	1140	0	0	581	-3812.957587889141450	-1.168890047360140	1140	0	0	581	0.796109035559051	1.314808340072976	-9.462094309793825	2.794372584336636	0.21843655377227145	23.309389195439575	0.3038669017507449	0.27965047602094534	0.14463025931070894	0.2718523629176009	0.6054943608852253	0.6054943608852253
33	-65.676308121554584	-3809.538579932126595	-3875.214888053681079	-0.439619270225581	1140	0	0	577	-3809.538579932126595	-0.439619270225581	1140	0	0	577	0.840779964645289	1.966088620117746	-10.78063580829946	1.4914119875283798	0.275661464503358	21.085861169302028	0.3082831594018959	0.2802425971926499	0.13639648977463076	0.2750777536308234	0.4276409293264392	0.4276409293264392
34	-47.167956548526242	-3821.506012964493948	-3868.673969513019983	-3.480233221896967	1140	0	0	575	-3821.506012964493948	-3.480233221896967	1140	0	0	575	0.846114761691615	0.425717224028232	-10.774485117727698	31.165621612112194	0.2907475163049301	17.99097079243637	0.29511698523968694	0.28557674929904914	0.13899266762384138	0.28031359783742255	1.9875041786787158	1.9875041786787158
